[00:00:00.000] (7f73837ed280) INFO   Produced a list of 2131 files
[00:00:00.001] (7f73837ed280) INFO   Updated a list of 2131 files
[00:00:00.003] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161213_191444.jpg
[00:00:00.003] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161213_191444.jpg -> /home/sgzmd/Downloads/Temp/2016/12/13/IMG_20161213_191444.jpg
[00:00:00.004] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161127_180445.jpg
[00:00:00.004] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161127_180445.jpg -> /home/sgzmd/Downloads/Temp/2016/11/27/IMG_20161127_180445.jpg
[00:00:00.004] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161220_091217_1.jpg
[00:00:00.004] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161220_091217_1.jpg -> /home/sgzmd/Downloads/Temp/2016/12/20/IMG_20161220_091217_1.jpg
[00:00:00.004] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/00000IMG_00000_BURST20161128135938.jpg
[00:00:00.004] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/00000IMG_00000_BURST20161128135938.jpg -> /home/sgzmd/Downloads/Temp/2016/11/28/00000IMG_00000_BURST20161128135938.jpg
[00:00:00.004] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161220_095452.jpg
[00:00:00.004] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161220_095452.jpg -> /home/sgzmd/Downloads/Temp/2016/12/20/IMG_20161220_095452.jpg
[00:00:00.005] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_070545.jpg
[00:00:00.005] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_070545.jpg -> /home/sgzmd/Downloads/Temp/2016/12/15/IMG_20161215_070545.jpg
[00:00:00.005] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4754.jpg
[00:00:00.005] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4754.jpg -> /home/sgzmd/Downloads/Temp/2016/12/17/IMG_4754.jpg
[00:00:00.005] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161128_185432.jpg
[00:00:00.005] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161128_185432.jpg -> /home/sgzmd/Downloads/Temp/2016/11/28/IMG_20161128_185432.jpg
[00:00:00.005] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_072525.jpg
[00:00:00.005] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_072525.jpg -> /home/sgzmd/Downloads/Temp/2016/12/15/IMG_20161215_072525.jpg
[00:00:00.006] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161130_180944-edited.jpg
[00:00:00.006] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161130_180944-edited.jpg -> /home/sgzmd/Downloads/Temp/2016/11/30/IMG_20161130_180944-edited.jpg
[00:00:00.006] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161126_081054.jpg
